Position: 54.37101505 18.61400261
ac: 1.5433086 -0.25628757 2.6404524
ac: 0.9441427 -1.1902087 0.7114172
ac: 2.1445642 0.16936374 -3.3177567
ac: -0.22006619 0.61184573 -2.437067
Position: 54.37107837 18.61359029
ac: -0.18261796 1.0982835 -5.091084
ac: -1.1904345 2.2704992 0.05795765
ac: -2.453522 2.0386882 3.2118979
ac: -1.1895726 1.6746292 3.3647213
ac: -1.1854397 0.9469938 3.7898626
ac: -1.9485625 -1.0978262 0.72060204
ac: 0.7796684 -0.6727352 -1.5553398
ac: -0.5319186 -0.8368554 -0.94230986
ac: 1.1540774 -0.6267023 -2.3911572
ac: 0.9039636 -0.82258654 -1.8250332
ac: 1.3433248 -0.80680466 -1.089551
ac: 0.63010305 -1.24213 2.8564758
ac: 2.6126287 0.44669437 2.5662184
ac: -1.2847472 -1.6146536 4.845277
ac: 0.9617904 0.32465506 -1.0701532
ac: -0.28416422 0.39607382 -3.4730368
ac: -0.71995795 0.33764887 -4.078607
ac: -0.09782633 1.032876 -0.338809
Position: 54.37107837 18.61359029
ac: -1.2174729 1.6958375 2.8355665
ac: 0.923234 1.4722142 2.8783617
ac: -1.0404973 1.0080142 1.8136883
ac: 0.5109904 -0.26290798 1.3493557
ac: 0.014558017 -0.3419931 -0.5641289
ac: -0.043592095 0.15741563 -2.050342
ac: 1.0494704 -0.002115488 -2.2186437
ac: 0.30267558 -0.3182404 -1.2848253
ac: 1.2715011 -1.1120663 2.3294792
ac: 2.1291847 -1.0051959 1.3210945
ac: 0.9146062 -1.6903126 5.6359787
ac: -0.05965948 -0.95213926 1.9775124
ac: 0.20315439 0.36144996 -3.674872
ac: -0.6289406 0.64300704 -4.208075
ac: -0.021330237 1.098675 -5.8072686
ac: -1.1277695 1.9836044 -0.39772987
ac: -1.2106123 2.7085805 3.9352179
ac: -0.71911824 1.8391085 4.342451
Position: 54.37108349 18.61353874
ac: 0.37692165 0.9275949 6.0161486
ac: -1.6221415 -1.3171017 -0.6426134
ac: 1.304235 -0.5187752 -0.85604286
ac: -0.63008887 -0.26714373 -2.9488392
ac: -0.34652972 0.069116116 -1.3723159
