ac: 0.004621461 0.15500927 0.09828043
ac: 0.0035115927 0.15378284 0.10313368
ac: -6.876141E-4 0.12753582 0.07961416
ac: 2.5564432E-4 0.1328106 0.07751751
ac: 0.010470539 0.11426735 0.078676224
ac: -0.006471455 0.14494705 0.040013313
ac: -0.008196816 0.14663601 0.07439995
ac: -0.005904913 0.16644096 0.08688116
ac: -0.006646231 0.1413536 0.069476604
ac: 0.012302205 0.14181805 0.07506561
ac: 0.017343491 0.14178658 0.04162073
Position: 54.3698605 18.60731273
ac: 0.017139435 0.14057636 0.062058926
ac: -8.627772E-5 0.12603283 0.06725931
ac: 0.004714459 0.13031292 0.06946564
ac: 0.011566877 0.13924885 0.07192516
ac: 0.010814607 0.1456995 0.04701996
ac: -0.012764931 0.15381622 0.09474325
ac: 0.01551342 0.12788773 0.051986217
ac: 0.009750113 0.122737885 0.09163427
ac: -0.016210258 0.14879608 0.09879112
ac: 0.0037395507 0.14680004 0.045348644
ac: -0.0037825108 0.12997246 0.083182335
ac: 4.3845177E-4 0.14007092 0.092861176
ac: -0.011908099 0.14123249 0.08394432
ac: -0.003250599 0.14402771 0.05861664
ac: -4.928261E-4 0.12884521 0.09916735
ac: 0.0046153963 0.14277363 0.048524857
ac: 0.013894886 0.13682556 0.059877872
ac: 0.004089251 0.1476841 0.07527685
ac: -0.0065261126 0.13556767 0.06363773
Position: 54.3698605 18.60731273
ac: 0.011579812 0.13979244 0.093518734
ac: 0.0031265467 0.13421822 0.09321785
ac: 0.007165298 0.14896488 0.056572437
ac: -0.0042782575 0.14519882 0.09823561
ac: 0.00635843 0.13888073 0.07018852
ac: 0.010398492 0.14914799 0.078294754
ac: 0.014236838 0.16160107 0.10422897
ac: -0.0040118694 0.13908863 0.090574265
ac: 0.011607289 0.143857 0.06547642
ac: -0.0037633032 0.14755058 0.078490734
ac: -0.008880049 0.15700531 0.07386017
ac: -0.0010484159 0.14813042 0.09879446
ac: 0.0065835416 0.14900112 0.0635581
ac: -0.0011479259 0.14186668 0.056252956
ac: 0.031907737 0.14320278 0.07041645
ac: -0.0010638982 0.14351177 0.045843124
ac: 0.003562227 0.16373348 0.067052364
ac: -0.009371713 0.15139389 0.11149597
Position: 54.36987145 18.60735092
ac: 0.0017392486 0.13466358 0.05464363
ac: 0.0011745244 0.13971996 0.051769733
ac: 0.018293276 0.14064217 0.059523582
ac: -0.010296345 0.14238358 0.05423212
ac: 0.015418962 0.1555748 0.07633543
ac: 0.009120956 0.14233875 0.060901165
ac: -0.0039815456 0.14605713 0.06179762
ac: -0.0022376329 0.12539959 0.08819103
ac: 0.0054932684 0.13766861 0.04629755
ac: 0.0031684786 0.13769817 0.054680347
ac: -0.0045556277 0.13930607 0.07240248
ac: -0.0024417788 0.15209389 0.1007123
ac: -0.016500771 0.13353825 0.09053421
ac: -0.014705256 0.13669205 0.093241215
ac: -0.0034722835 0.15548325 0.08801699
ac: -0.021065801 0.13058853 0.098257065
ac: 0.016019493 0.1429987 0.050722122
ac: -0.0037055016 0.1404686 0.07612085
Position: 54.36987145 18.60735092
ac: 0.015863717 0.13514423 0.08494663
ac: -0.0017453134 0.13895988 0.11081123
ac: 0.029720023 0.14595509 0.061589718
ac: 0.0013148189 0.13843918 0.08612394
ac: -0.011217192 0.13615513 0.08225918
ac: -0.009530187 0.14643669 0.080818176
ac: 2.0121038E-4 0.1537199 0.081784725
ac: 0.009611666 0.17250347 0.0788908
ac: 0.0065464973 0.14021683 0.06146431
ac: -0.0046810657 0.12899685 0.07973051
ac: 0.0023016185 0.12870312 0.076164246
ac: -8.864254E-4 0.13924026 0.075424194
ac: -0.0021630228 0.14801788 0.078148365
ac: 0.006797701 0.13609123 0.07390785
ac: 0.007945627 0.13397121 0.07457113
ac: -0.016372904 0.1462059 0.08063793
